,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
666,A Haunted House 2,2014,R,18 Apr 2014,86.0,"Comedy, Fantasy, Horror",Michael Tiddes,"Marlon Wayans, Rick Alvarez","Marlon Wayans, Jaime Pressly, Cedric the Entertainer","Having exorcised the demons of his ex, Malcolm is starting fresh with his new girlfriend and her two children. After moving into their dream home, however, Malcolm is once again plagued by bizarre paranormal events.",English,United States,,17,4.6,"21,941",tt2828996,"$17,329,486",movie
667,Blind Intersections,2012,,21 Feb 2013,90.0,Drama,Lara Saba,Nebal Araqji,"Alae Hamoud, Ghida Nouri, Carole Hajj","Three protagonists, one city... Coming from different backgrounds, they pass each other but they never meet, though, the effect of one incident will drastically alter the lives of the three of them! Three characters, caught at a m...",Arabic,"Lebanon, United Arab Emirates",1 win & 1 nomination,,6.6,177,tt1918638,,movie
668,Camellia Sisters,2021,,12 Feb 2021,115.0,Drama,"Namcito, Bao Nhan",,"Hoang Dung, Khanh Le, Kaity Nguyen","Three sisters reunite in the wealthy palace they grew up in, as the secrets in their family begin to unravel.",Vietnamese,Vietnam,,,6.8,137,tt14023894,,movie
669,Copenhagen,2014,Not Rated,03 Oct 2014,98.0,"Adventure, Drama, Romance",Mark Raso,Mark Raso,"Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto","When the girl of your dreams is half your age, it's time to grow up.","English, Danish","Canada, United States, Denmark",6 wins & 2 nominations,71,7.0,"13,365",tt2459156,,movie
671,Until Midnight,2018,,21 Jun 2018,78.0,"Drama, Thriller",Tariq Alkazim,Tariq Alkazim,"Ahmed Khamis Ali, Chuka Ekweogwu, Hiba Hamoui","When Salem, A newly wed man returns home, He finds an unexpected visitor with sinister intentions.","Arabic, English",United Arab Emirates,,,6.8,721,tt7741602,,movie
672,Awake,2007,R,30 Nov 2007,84.0,"Crime, Drama, Mystery",Joby Harold,Joby Harold,"Hayden Christensen, Jessica Alba, Terrence Howard",A wealthy young man undergoing heart transplant surgery discovers that the surgical team intend to murder him.,"English, Japanese",United States,1 win & 3 nominations,33,6.5,"76,259",tt0211933,"$14,377,198",movie
673,Confusion Na Wa,2013,Not Rated,08 Jun 2021,105.0,"Comedy, Crime, Drama",Kenneth Gyang,"Kenneth Gyang, Tom Rowlands-Rees","Toyin Alabi, Tunde Aladese, Tina Attah",Set in a Nigerian city Confusion Na Wa is a dark comedy about a group of strangers whose fates become intertwined over the course of 24 hours. At the heart of everything is a phone found by two opportunist wasters Charles and Chic...,English,Nigeria,2 wins & 2 nominations,,7.0,38,tt3012648,,movie
674,Tragic Jungle,2020,TV-MA,09 Jun 2021,96.0,"Adventure, Drama, Mystery",Yulene Olaizola,"Rubén Imaz, Yulene Olaizola, Antonio Mediz Bolio","Indira Rubie Andrewin, Gilberto Barraza, Mariano Tun Xool","To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.","Spanish, Maya, English","Mexico, France, Colombia",6 wins & 16 nominations,70,5.6,984,tt12792598,,movie
675,Guru Aur Bhole,2017–,,,,Animation,,,,,Hindi,,,,4.6,20,tt9866784,,series
676,Vampire Academy,2014,PG-13,07 Feb 2014,104.0,"Action, Comedy, Drama",Mark Waters,"Daniel Waters, Richelle Mead","Zoey Deutch, Lucy Fry, Danila Kozlovskiy","Rose Hathaway is a Dhampir, half human-half vampire, a guardian of the Moroi, peaceful, mortal vampires living discreetly within our world. Her calling is to protect the Moroi from bloodthirsty, immortal Vampires, the Strigoi.","English, French","United States, United Kingdom",2 nominations,31,5.4,"55,125",tt1686821,"$7,791,979",movie
677,A Private War,2018,R,16 Nov 2018,110.0,"Biography, Drama, War",Matthew Heineman,"Arash Amel, Marie Brenner","Rosamund Pike, Alexandra Moen, Tom Hollander","One of the most celebrated war correspondents of our time, Marie Colvin is an utterly fearless and rebellious spirit, driven to the frontline of conflicts across the globe to give voice to the voiceless.",English,"United Kingdom, United States",2 wins & 10 nominations,75,6.7,"19,627",tt2368254,"$1,633,208",movie
678,Kitty Love: An Homage to Cats,2020,TV-PG,05 Jun 2021,60.0,Documentary,Mark Verkerk,"Dennis Gerritsen, Trui van de Brug","Abatutu, Nicolette Kluijver, Djae Van der Helm","Famous feline Abatutu presents this charming celebration of cats, showcasing their finest and friskiest moments with a collection of home videos.",Dutch,Netherlands,,,5.1,531,tt12661060,,movie
679,Small Chops,2020,,31 Jan 2020,98.0,Drama,Robert Peters,"Chika Ike, Uyai Ikpe-Etim, Beth Rogers","Toyin Abraham, Omotunde Adebowale David, Lilian Chioma Agu","Nikita, an afro dancer at a bar catches the attention of Casper, an uptight business mogul. Casper pays for a weekend of private entertainment, things don't go as planned.",English,Nigeria,,,3.3,34,tt11822492,,movie
680,Breaking Boundaries: The Science of Our Planet,2021,TV-PG,04 Jun 2021,73.0,Documentary,Jonathan Clay,,"David Attenborough, Elena Bennett, Jason Box",David Attenborough and scientist Johan Rockström examine Earth's biodiversity collapse and how this crisis can still be averted.,English,United States,,,7.8,"2,815",tt14539726,,movie
681,Feel Good,2020–2021,TV-MA,19 Mar 2020,1.0,"Comedy, Drama, Romance",,"Joe Hampson, Mae Martin","Mae Martin, Charlotte Ritchie, Phil Burgers","The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviors and intense romanticism that permeate every facet of her life.",English,United Kingdom,Nominated for 1 BAFTA Award4 wins & 7 nominations total,,7.5,"11,341",tt10098620,,series
682,Human: The World Within,2021–,TV-PG,05 May 2021,,Documentary,,,"Mandy Harvey, Jad Abumrad","Diverse personal stories from around the world reveal how lives, passions and goals are facilitated by the human body's various complex systems; narrator Jad Abumrad.",,,,,6.7,790,tt14574154,,series
683,Sweet & Sour,2021,TV-14,04 Jun 2021,101.0,"Comedy, Romance","Kae-Byeok Lee, Kate Jopson","Lee Gye-Wook, Kurumi Inui","Jang Ki-Yong, Chae Soo-bin, Krystal Jung","Faced with real-world opportunities and challenges, a couple endures the highs and lows of trying to make a long-distance relationship survive.",Korean,South Korea,,,6.7,"2,636",tt14599938,,movie
684,Sweet Tooth,2021–,TV-14,04 Jun 2021,,"Action, Adventure, Drama",,"Jim Mickle, Beth Schwartz","Nonso Anozie, Christian Convery, Aliza Vellani",A boy who is half human and half deer survives in a post-apocalyptic world with other hybrids.,English,United States,Nominated for 1 BAFTA Award7 wins & 14 nominations total,,7.8,"52,009",tt12809988,,series
685,Trippin' with the Kandasamys,2021,TV-14,04 Jun 2021,93.0,"Comedy, Romance",Jayan Moodley,"Rory Booth, Jayan Moodley","Mariam Bassa, Rushil Juglall, Vashir Kemraj","To rekindle their marriages, best friends-turned-in-laws Shanthi and Jennifer plan a couples' getaway. But it comes with all kinds of surprises.",English,South Africa,,,5.1,387,tt14611368,,movie
686,Xtreme,2021,TV-MA,04 Jun 2021,111.0,"Action, Crime, Drama",Daniel Benmayor,"Teo García, Ivan Ledesma, Genaro Rodriguez","Teo García, Óscar Jaenada, Óscar Casas","Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.",Spanish,Spain,,,5.8,"4,457",tt11658120,,movie
689,Dancing Queens,2021,TV-MA,03 Jun 2021,110.0,"Comedy, Drama",Helena Bergström,"Helena Bergström, Denize Karabuda","Rakel Wärmländer, Molly Nutley, Christopher Wollter","The story of Dylan Pettersson, a 23 year old girl from a small island in the Swedish archipelago with big dancing aspirations.","Swedish, English",Sweden,,,5.7,"1,846",tt13032716,,movie
690,From Stress to Happiness,2020,,15 Dec 2020,60.0,Documentary,"Alejandro De Grazia, Juan Maria Stadler",,"Matthieu Ricard, Tania Singer, David Steindl-Rast","Alejandro is an ordinary man, as probably you and me. Like most of us he is in search of happiness, but he has reached that point where he understands that many of the decisions he made in his life, which seemed to bring him calm ...","Spanish, English",Argentina,,,6.3,225,tt13079086,,movie
691,Myriam Fares: The Journey,2021,,03 Jun 2021,71.0,"Documentary, Music",Myriam Fares,Myriam Fares,,"From pregnancy to album preparations, Lebanese singer and ""Queen of the Stage"" Myriam Fares documents her experiences with her family while in lockdown.",Arabic,Lebanon,,,2.2,178,tt14773250,,movie
692,Summertime,1955,Approved,07 Nov 1955,100.0,"Comedy, Drama, Romance",David Lean,"Arthur Laurents, H.E. Bates, David Lean","Katharine Hepburn, Rossano Brazzi, Isa Miranda",An American spinster's dream of romance finally becomes a bittersweet reality when she meets a handsome--but married--Italian man while vacationing in Venice.,"English, Italian","United Kingdom, United States",Nominated for 2 Oscars. 2 wins & 5 nominations total,,7.1,"8,944",tt0048673,,movie
694,2 Hearts,2020,PG-13,16 Oct 2020,101.0,"Drama, Romance",Lance Hool,"Robin U. Russin, Veronica Hool, Eric Gregory","Jacob Elordi, Adan Canto, Tiera Skovbye","For two couples the future unfolds in different decades and different places, but a hidden connection will bring them together in a way no one could have predicted.",English,United States,,29,6.3,"5,254",tt5616176,"$1,349,286",movie
695,A Perfect Ending,2012,Not Rated,21 Jun 2013,110.0,"Drama, Romance",Nicole Conn,Nicole Conn,"Barbara Niven, Bryan Mordechai Jackson, Jessica Clark","Rebecca has a very unusual secret, one that not even her best friends know about. The last person on earth she expects to reveal it to is a high priced escort named Paris.",English,United States,1 win,,5.6,"4,518",tt1823059,,movie
696,American Outlaws,2001,PG-13,17 Aug 2001,94.0,"Action, Western",Les Mayfield,"Roderick Taylor, John Rogers","Colin Farrell, Scott Caan, Ali Larter",5 Southern friends return home when the war ends 1865. But Yankee soldiers and Pinkerton are busy helping a railroad baron grab land from farmers along the planned railroad west. The 5 friends fight back.,English,United States,7 nominations,25,5.9,"16,662",tt0244000,"$13,342,790",movie
697,And Then Came Lola,2009,Not Rated,19 Jun 2009,71.0,"Comedy, Drama, Romance","Ellen Seidler, Megan Siler","Ellen Seidler, Megan Siler","Ashleigh Sumner, Jill Bennett, Cathy DeBuono","In this sexy lesbian romp, Lola will lose her job and her girlfriend if she can't get to a crucial meeting on time. She's got just three chances to get it right.",English,United States,1 win,,3.9,"1,710",tt1123894,,movie
698,Attack on Titan,2013–2023,TV-MA,28 Sep 2013,24.0,"Animation, Action, Adventure",,,"Josh Grelle, Yûki Kaji, Yui Ishikawa","After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",Japanese,Japan,15 wins & 24 nominations,,9.0,"367,446",tt2560140,,series
699,Battlefield Earth,2000,PG-13,12 May 2000,118.0,"Action, Adventure, Sci-Fi",Roger Christian,"Corey Mandell, J.D. Shapiro, L. Ron Hubbard","John Travolta, Forest Whitaker, Barry Pepper","It's the year 3000 A.D., and the Earth is lost to the alien race of Psychlos. Humanity is enslaved by these gold-thirsty tyrants, who are unaware that their 'man-animals' are about to ignite the rebellion of a lifetime.",English,United States,19 wins & 3 nominations,9,2.5,"80,409",tt0185183,"$21,471,685",movie
700,Ben & Holly's Little Kingdom,2009–2013,TV-Y,06 Apr 2009,10.0,"Animation, Adventure, Comedy",,"Neville Astley, Mark Baker","Preston Nyman, Sian Taylor, Sarah Ann Kennedy",The friendship between fairy princess Holly and Ben Elf in the magical Kingdom of elves and fairies.,English,United Kingdom,Won 1 BAFTA Award2 wins total,,7.5,"1,310",tt1436544,,series
701,Bliss,2021,R,05 Feb 2021,103.0,"Drama, Romance, Sci-Fi",Mike Cahill,Mike Cahill,"Owen Wilson, Salma Hayek, Nesta Cooper","A mind-bending love story following Greg who, after recently being divorced and then fired, meets the mysterious Isabel, a woman living on the streets and convinced that the polluted, broken world around them is a computer simulat...",English,United States,1 win & 2 nominations,40,5.3,"18,024",tt10333426,,movie
702,Carnaval,2021,TV-MA,02 Jun 2021,94.0,Comedy,Leandro Neri,"Lipy Adler, Peu Barbalho, Audemir Leuzinger","Alexandre Moreira, Antônio Rafaski, Bruna Inocencio","After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",Portuguese,Brazil,,,4.0,940,tt14074470,,movie
703,Cloudburst,2011,Unrated,16 Sep 2011,93.0,"Adventure, Comedy, Drama",Thom Fitzgerald,Thom Fitzgerald,"Olympia Dukakis, Brenda Fricker, Kristin Booth","A lesbian couple escape from their nursing home and head up to Canada to get married. Along the way, they pick up a young, male hitchhiker.",English,"United States, Canada",33 wins & 4 nominations,,7.2,"2,360",tt1466054,,movie
704,Cocomelon,2018–2022,TV-PG,01 Jun 2020,,"Animation, Family",,,"Kristen Princiotta, Ava Madison Gray, Hannah An","In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",English,United States,,,4.7,653,tt12427840,,series
705,Company of Heroes,2013,R,26 Feb 2013,100.0,"Action, War",Don Michael Paul,"David Reed (screenplay by), Danny Bilson (story by), Paul De Meo (story by)","Tom Sizemore, Chad Michael Collins, Vinnie Jones, Dimitri Diatchenko","American soldiers lost behind enemy lines during the WWII make a horrific discovery: Hitler has a super bomb in development. Against all odds, they set out to find the scientist in charge of the program who is looking to defect.","English, German",USA,,,5.1,"5,959",tt2555426,,movie
706,Cradle 2 the Grave,2003,R,28 Feb 2003,101.0,"Action, Crime, Drama",Andrzej Bartkowiak,"John O'Brien, Channing Gibson","Jet Li, DMX, Mark Dacascos","A jewel thief's daughter is kidnapped after he steals a collection of prized black diamonds, which aren't at all what they seem.","English, Mandarin, Korean",United States,6 nominations,36,5.8,"45,232",tt0306685,"$34,712,347",movie
707,Domestic Disturbance,2001,PG-13,02 Nov 2001,89.0,"Crime, Thriller",Harold Becker,"Lewis Colick, William S. Comanor, Gary Drucker","John Travolta, Nick Loren, Matt O'Leary","When Danny witnesses his stepfather Rick murder a man, Danny's father Frank has to protect his son from the greatest danger.",English,United States,1 win & 3 nominations,29,5.6,"27,670",tt0249478,"$45,246,095",movie
708,Downton Abbey,2010–2015,TV-PG,09 Jan 2011,58.0,"Drama, Romance",,Julian Fellowes,"Hugh Bonneville, Phyllis Logan, Elizabeth McGovern",A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,English,United Kingdom,Won 15 Primetime Emmys. 59 wins & 229 nominations total,,8.7,"206,223",tt1606375,,series
709,Dream/Killer,2015,Not Rated,04 May 2015,106.0,"Documentary, Crime",Andrew Jenks,,"Kevin Crane, Chuck Erickson, Bill Ferguson","In 2005, 20-year-old Ryan Ferguson was convicted and sentenced to 40 years in prison for a crime he did not commit, causing his father, Bill, to embark on a 10-year campaign to prove Ryan's innocence.",English,United States,1 win,,7.4,"2,081",tt4504438,,movie
710,Felon,2008,R,18 Jul 2008,104.0,"Crime, Thriller",Ric Roman Waugh,Ric Roman Waugh,"Stephen Dorff, Marisol Nichols, Vincent Miller","Locked up for killing an intruder in self-defense, a family man must cope with life in the violent penal system.",English,United States,,58,7.4,"79,100",tt1117385,,movie
711,Flipped,2010,PG,10 Sep 2010,90.0,"Comedy, Drama, Romance",Rob Reiner,"Rob Reiner, Andrew Scheinman, Wendelin Van Draanen","Madeline Carroll, Callan McAuliffe, Rebecca De Mornay",Two eighth-graders start to have feelings for each other despite being total opposites.,English,United States,2 wins & 2 nominations,45,7.7,"90,283",tt0817177,"$1,755,212",movie
712,Fools Rush In,1997,PG-13,14 Feb 1997,109.0,"Comedy, Drama, Romance",Andy Tennant,"Joan Taylor, Katherine Reback","Matthew Perry, Salma Hayek, Jon Tenney","After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions.","English, Spanish",United States,3 nominations,37,6.1,"36,277",tt0119141,"$29,481,428",movie
713,Gold Statue,2019,,,145.0,"Adventure, Comedy, Drama",Tade Ogidan,Tade Ogidan,"Motunrayo Adeyemi, Kemi Afolabi, Gabriel Afolayan","A prized gold statue drives two best buddies on an adventure to find it and unlock its powers. But does the statue even really exist - and if found, does it really hold magical powers?",,Nigeria,5 nominations,,6.5,52,tt10377292,,movie
714,Happy Endings,2011–2020,TV-14,13 Apr 2011,22.0,"Comedy, Romance",,David Caspe,"Eliza Coupe, Elisha Cuthbert, Zachary Knighton","This Chicago-set sitcom follows the intertwined lives of six young urbanites trying to learn the ropes of adulthood. Through breakups and whatever other curve-balls life throws them, the pals stick together.",English,United States,1 win & 37 nominations,,7.8,"38,571",tt1587678,,series
715,Hostel: Part III,2011,R,27 Dec 2011,88.0,Horror,Scott Spiegel,"Michael D. Weiss, Eli Roth (characters)","Kip Pardue, Brian Hallisay, John Hensley, Sarah Habel","Four men attending a bachelor party in Las Vegas fall prey to the Elite Hunting Club, who are hosting a gruesome game show of torture.","English, Hungarian",USA,,,4.6,"29,489",tt1255916,,movie
716,I Am Sam,2001,PG-13,25 Jan 2002,132.0,Drama,Jessie Nelson,"Kristine Johnson, Jessie Nelson","Sean Penn, Michelle Pfeiffer, Dakota Fanning",A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,English,United States,Nominated for 1 Oscar. 8 wins & 12 nominations total,28,7.6,"150,519",tt0277027,"$40,311,852",movie
717,Love Jones,1997,R,14 Mar 1997,109.0,"Drama, Romance",Theodore Witcher,Theodore Witcher,"Larenz Tate, Nia Long, Isaiah Washington","Darius Lovehall is a young black poet in Chicago who starts dating Nina Mosley, a beautiful and talented photographer. While trying to figure out if they've got a ""love thing"" or are just ""kicking it,"" they hang out with their fri...",English,United States,2 wins & 7 nominations,65,7.3,"5,012",tt0119572,"$12,479,335",movie
718,Million Dollar Baby,2004,PG-13,28 Jan 2005,132.0,"Drama, Sport",Clint Eastwood,"Paul Haggis, F.X. Toole","Hilary Swank, Clint Eastwood, Morgan Freeman",A determined woman works with a hardened boxing trainer to become a professional.,"English, Irish Gaelic",United States,Won 4 Oscars. 67 wins & 86 nominations total,86,8.1,"685,142",tt0405159,"$100,492,203",movie
719,Mosquita y Mari,2012,Not Rated,14 May 2013,85.0,Drama,Aurora Guerrero,Aurora Guerrero,"Fenessa Pineda, Venecia Troncoso, Joaquín Garrido","After being assigned as study partners, two Chicana high schoolers find a bond that confuses them at times.","Spanish, English",United States,7 nominations,66,6.3,929,tt1978480,"$9,000",movie
720,Never Back Down 2: The Beatdown,2011,R,08 Apr 2011,99.0,"Action, Drama, Sport",Michael Jai White,Chris Hauty,"Michael Jai White, Dean Geyer, Alex Meraz, Todd Duffee",Four fighters with different backgrounds come together to train under an ex-MMA rising star and then ultimately have to fight each other.,English,USA,,,5.7,"18,562",tt1754264,,movie
721,Ninja Assassin,2009,R,25 Nov 2009,99.0,"Action, Thriller",James McTeigue,"Matthew Sand, J. Michael Straczynski","Rain, Rick Yune, Naomie Harris","A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",English,"Germany, United States, France",,34,6.3,"72,628",tt1186367,"$38,122,883",movie
722,Ouran High School Host Club,2006,TV-14,04 Apr 2006,1.0,"Animation, Comedy, Romance",,,"Maaya Sakamoto, Mamoru Miyano, Masaya Matsukaze","A girl at a prestigious school befriends the members of a ""host club"".","Japanese, English",Japan,,,8.2,"10,286",tt0816397,,series
723,Population 436,2006,R,05 Sep 2006,92.0,"Drama, Horror, Mystery, Romance, Thriller",Michelle MacLaren,Michael Kingston,"David Ames, Leigh Enns, Susan Kelso, Rick Skene",A census-taker (Sisto) is sent to investigate why a certain small town has had the same population -- 436 residents -- for the last 100 years.,English,"Canada, USA",,,5.7,"11,534",tt0462482,,movie
724,Racket Boys,2021–,TV-14,31 May 2021,,"Comedy, Drama, Sport",,,"Kim Sang-kyung, Na-ra Oh, Tang Joon-sang",A city kid is brought to the countryside by his father's new coaching gig; reviving a ragtag middle school badminton team on the brink of extinction.,Korean,South Korea,1 win,,4.1,"27,639",tt14482414,,series
727,Sniper: Legacy,2014,R,23 Feb 2015,95.0,"Action, Thriller, War",Don Michael Paul,"Michael Frost Beckner (based on characters created by), Crash Leyland (based on characters created by), John Fasano (story by), John Fasano (screenplay by), Don Michael Paul (screenplay by)","Tom Berenger, Chad Michael Collins, Doug Allen, Dominic Mafham","A rogue assassin is taking out military leaders, and Brandon gets word that his father is one. He tries to track down the killer, finds out that his father isn't dead and realizes that his superior officers are using him as bait to track the killer.",English,"USA, Bulgaria",,,5.3,"4,457",tt3776288,,movie
728,Starsky & Hutch,2004,PG-13,05 Mar 2004,101.0,"Comedy, Crime",Todd Phillips,"William Blinn, Stevie Long, John O'Brien","Ben Stiller, Owen Wilson, Snoop Dogg","Two streetwise cops bust criminals in their red and white Ford Gran Torino, with the help of a police snitch called ""Huggy Bear"".","English, Korean",United States,3 wins & 11 nominations,55,6.1,"148,028",tt0335438,"$88,237,754",movie
729,Streets of Fire,1984,PG,01 Jun 1984,93.0,"Action, Crime, Drama",Walter Hill,"Walter Hill, Larry Gross","Michael Paré, Diane Lane, Rick Moranis","A mercenary is hired to rescue his ex-girlfriend, a singer who has been kidnapped by a motorcycle gang.",English,United States,2 wins & 1 nomination,59,6.7,"21,877",tt0088194,"$8,089,290",movie
730,Super Monsters: Once Upon a Rhyme,2021,,01 Jun 2021,25.0,"Animation, Family",Steve Ball,"Robert N. Skir, Kaaren Lee Brown","Cynthia de Pando, Elyse Maloway, Asia Mattu","The Super Monsters rethink exemplary fantasies and most loved nursery rhymes with a melodic, otherworldly twist.",English,,,,5.8,40,tt14586752,,movie
731,Swordfish,2001,R,08 Jun 2001,99.0,"Action, Crime, Thriller",Dominic Sena,Skip Woods,"John Travolta, Hugh Jackman, Halle Berry","A covert counter-terrorist unit called Black Cell led by Gabriel Shear wants the money to help finance their war against international terrorism, but it's all locked away. Gabriel brings in convicted hacker Stanley Jobson to help ...","English, German",United States,5 wins & 10 nominations,32,6.5,"188,152",tt0244244,"$69,772,969",movie
732,The Four Seasons,1981,PG,22 May 1981,107.0,"Comedy, Drama",Alan Alda,Alan Alda,"Alan Alda, Carol Burnett, Len Cariou","Three couples vacation together every season. After one divorces, feelings of betrayal and more spawn criticisms of each other. But the things that keep them together are stronger than those which otherwise might pull them apart.",English,United States,1 win & 5 nominations,55,6.8,"4,702",tt0082405,"$50,427,646",movie
733,The Girl King,2015,Not Rated,08 Dec 2015,106.0,"Biography, Drama, History",Mika Kaurismäki,"Michel Marc Bouchard, Linda Gaboriau","Malin Buska, Sarah Gadon, Michael Nyqvist","THE GIRL KING paints a portrait of the brilliant, extravagant Kristina of Sweden, queen from age six, who fights the conservative forces that are against her ideas to modernize Sweden and who have no tolerance for her awakening se...","English, French, German, Latin, Italian","Finland, Canada, Germany, Sweden",3 wins & 2 nominations,37,5.8,"4,160",tt1254322,,movie
734,The Interpreter,2005,PG-13,22 Apr 2005,128.0,"Crime, Mystery, Thriller",Sydney Pollack,"Martin Stellman, Brian Ward, Charles Randolph","Nicole Kidman, Sean Penn, Catherine Keener","Political intrigue and deception unfold inside the United Nations, where a U.S. Secret Service agent is assigned to investigate an interpreter who overhears an assassination plot.","English, Aboriginal, French, Portuguese, Spanish, Hebrew","United Kingdom, France, Germany, United States",3 wins & 2 nominations,62,6.4,"107,638",tt0373926,"$72,708,161",movie
735,The Meddler,2015,PG-13,03 Jun 2016,103.0,"Comedy, Drama, Romance",Lorene Scafaria,Lorene Scafaria,"Susan Sarandon, Rose Byrne, J.K. Simmons",An aging widow from New York City follows her daughter to Los Angeles in hopes of starting a new life after her husband passes away.,English,United States,6 nominations,68,6.3,"13,125",tt4501454,"$4,267,218",movie
736,The Mirror Has Two Faces,1996,PG-13,15 Nov 1996,126.0,"Comedy, Drama, Romance",Barbra Streisand,"André Cayatte, Gérard Oury, Richard LaGravenese","Barbra Streisand, Jeff Bridges, Lauren Bacall","A shy, middle-aged professor enters into a romantic but non-physical relationship with an unlucky-in-love colleague.",English,United States,Nominated for 2 Oscars. 4 wins & 11 nominations total,,6.6,"20,359",tt0117057,"$41,083,864",movie
737,The Outlaw Josey Wales,1976,PG,30 Jun 1976,135.0,Western,Clint Eastwood,"Forrest Carter, Philip Kaufman, Sonia Chernus","Clint Eastwood, Sondra Locke, Chief Dan George",Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,"English, Navajo, Spanish",United States,Nominated for 1 Oscar. 1 win & 2 nominations total,69,7.8,"74,342",tt0075029,"$31,800,000",movie
738,The Platform,2019,TV-MA,20 Mar 2020,94.0,"Horror, Sci-Fi, Thriller",Galder Gaztelu-Urrutia,"David Desola, Pedro Rivero","Ivan Massagué, Zorion Eguileor, Antonia San Juan",A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.,"Spanish, Italian",Spain,12 wins & 24 nominations,73,7.0,"222,857",tt8228288,,movie
739,The Wedding Guest,2018,R,08 Mar 2019,96.0,Thriller,Michael Winterbottom,Michael Winterbottom,"Dev Patel, Nish Nathwani, Clara Hall",A story centered on a mysterious British Muslim man (Dev Patel) on his journey across Pakistan and India.,English,"United States, United Kingdom",1 nomination,57,5.8,"5,885",tt7645780,"$386,166",movie
740,The Wind,2018,R,05 Apr 2019,88.0,"Horror, Mystery, Thriller",Emma Tammi,Teresa Sutherland,"Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman",A plains-woman faces the harshness and isolation of the untamed land in the Western frontier of the late 1800s.,English,United States,1 win & 6 nominations,66,5.6,"8,607",tt8426594,"$28,252",movie
741,Then Came You,2018,Not Rated,01 Feb 2019,97.0,"Adventure, Comedy, Drama",Peter Hutchings,Fergal Rock,"Asa Butterfield, Maisie Williams, Nina Dobrev",A hypochondriac working as an airport baggage handler is forced to confront his fears when a British teenager with a terminal illness enlists him to help her carry out her eccentric bucket list.,English,United States,,44,6.9,"12,818",tt4859168,,movie
742,Welcome Home,2018,R,16 Nov 2018,97.0,Thriller,George Ratliff,David Levinson,"Emily Ratajkowski, Aaron Paul, Riccardo Scamarcio","A couple spend a weekend at a vacation rental home in the Italian countryside in an attempt to repair their relationship, but soon become victims of the homeowner's sinister plans.",English,United States,,38,5.2,"7,923",tt6829180,,movie
743,Dirty John,2018–,TV-14,25 Nov 2018,,"Crime, Drama",,Alexandra Cunningham,"Connie Britton, Christian Slater, Eric Bana",Anthology series in which each season is based on a true crime story featuring an epic tale of love gone wrong.,English,United States,1 win & 6 nominations,,7.2,"21,992",tt7945720,,series
744,One Lagos Night,2021,,15 Apr 2021,104.0,"Comedy, Crime",Ekene Som Mekwunye,Chigozirim Nwanegbo,"Eniola Badmus, Ali Nuhu, Frank Donga",An unemployed graduate risks his freedom to commit a crime that he hopes would pay off big time.,English,Nigeria,,,6.7,18,tt14211236,,movie
745,Collateral Beauty,2016,PG-13,16 Dec 2016,97.0,"Drama, Romance",David Frankel,Allan Loeb,"Will Smith, Edward Norton, Kate Winslet","Retreating from life after a tragedy, a man questions the universe by writing to Love, Time, and Death. Receiving unexpected answers, he begins to see how these things interlock and how even loss can reveal moments of meaning and ...",English,United States,1 win & 6 nominations,23,6.7,"100,727",tt4682786,"$31,016,021",movie
746,The Kominsky Method,2018–2021,TV-MA,16 Nov 2018,2.0,"Comedy, Drama",,Chuck Lorre,"Michael Douglas, Sarah Baker, Graham Rogers","An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",English,United States,Nominated for 12 Primetime Emmys. 4 wins & 54 nominations total,,8.2,"40,014",tt7255502,,series
747,Word of Honor,2021–,TV-14,28 May 2021,,"Action, Drama, Fantasy",,,"Zhehan Zhang, Jun Gong, Ye Zhou",Zhou Zi Shu gets embroiled in a conspiracy in the martial arts world. He meets Wen Ke Xing who escapes from the Ghost Valley to avenge his parents' deaths. They become fast friends and embark on an adventure to find a legendary tr...,"Chinese, Mandarin",,2 nominations,,8.6,"3,098",tt12458172,,series
