,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Metascore,IMDBRating,IMDBVotes,IMDBID,Box Office Revenue,Type
103,Here and There,2011,,13 Oct 2011,53.0,Drama,Michaël Dacheux,"Michaël Dacheux, Christophe Pellet","Adrien Dantou, César Domboy, Christine Leroy","The relationship of Clarinette (Adrien Dantou) and Piano (César Domboy) through the years is definitely NOT the case of ""Absence Makes the Heart Grow Fonder"".",French,France,1 win & 1 nomination,,6.3,75,tt2084102,,movie
104,Heroes of Goo Jit Zu,2019–,,27 Jun 2019,,"Animation, Action, Comedy",,,"Jon Allen, Kaiji Tang, Kellen Goff",Three Super Hero Animals Who Get Hit With Goo In The Sky Then Get Awsome Powers.,English,Australia,,,7.8,28,tt10589932,,series
105,Hotel Del Luna,2019,,03 Sep 2021,5.0,"Action, Comedy, Drama",,,"Ji-eun Lee, Yeo Jin-gu, Shin Jeong-geun","When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world.",Korean,South Korea,1 win & 3 nominations,,8.2,"9,328",tt10220588,,series
106,In the Cut,2003,R,31 Oct 2003,119.0,"Mystery, Thriller",Jane Campion,"Jane Campion, Susanna Moore, Stavros Kazantzidis","Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh","New York City writing professor, Frannie Avery, has an affair with a police detective who is investigating the murder of a beautiful young woman in her neighborhood.",English,"United Kingdom, Australia, France, United States",1 win & 2 nominations,46,5.4,"24,690",tt0199626,"$4,750,602",movie
108,Pororo the Little Penguin,2003–,TV-Y,,,"Animation, Family",,,"Ham Soo-Jeong, Sun Lee, Mi Ja Lee","The adventures, escapades and mishaps of Pororo the little penguin and his many varied friends.","Korean, English, Japanese",South Korea,,,6.1,95,tt3968668,,series
109,Q-Force,2021,TV-MA,02 Sep 2021,30.0,"Animation, Action, Adventure",,Gabe Liedman,"Gary Cole, David Harbour, Patti Harrison",A handsome secret agent and his team of LGBTQ superspies embark on extraordinary adventures.,English,United States,2 nominations,,6.5,"5,628",tt10140028,,series
110,Shikara,2020,Not Rated,07 Feb 2020,118.0,"Drama, History, Romance",Vidhu Vinod Chopra,"Vidhu Vinod Chopra, Abhijat Joshi, Rahul Pandita","Sadia Khateeb, Aadil Khan, Zain Khan Durrani",Shikara is the story of resilience in the face of insurmountable odds. It's also the story of a love that remains unextinguished through 30 years of exile. A timeless love story in the worst of times.,Hindi,India,1 nomination,,3.3,"15,233",tt10930586,,movie
111,A Cinderella Story,2004,PG,16 Jul 2004,95.0,"Comedy, Family, Romance",Mark Rosman,Leigh Dunlap,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge","Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.","English, German, Czech","United States, Canada",6 wins & 8 nominations,25,5.9,"88,147",tt0356470,"$51,438,175",movie
112,An Unfinished Life,2005,PG-13,16 Sep 2005,108.0,"Drama, Family, Romance",Lasse Hallström,"Mark Spragg, Virginia Korus Spragg","Jennifer Lopez, Robert Redford, Morgan Freeman","Desperate to provide care for her daughter, down-on-her-luck Jean moves in with her father in-law from whom she is estranged. Through time, they learn to forgive each other and heal old wounds.",English,United States,3 wins & 1 nomination,49,7.0,"31,491",tt0350261,"$8,586,392",movie
113,"Barbie: Big City, Big Dreams",2021,TV-Y,01 Sep 2021,60.0,"Animation, Family, Musical",Scott Pleydell-Pearce,"Christopher Keenan, Kate Splaine, Ruth Handler","America Young, Amber May, Greg Chun",Barbie goes to New York to attend a summer Performing Arts program. There she meets another Barbie Roberts. Despite their quick friendship the two have to compete for the Spotlight Solo in Times Square.,English,United States,,,5.7,349,tt15053428,,movie
115,Chappie,2015,R,06 Mar 2015,120.0,"Action, Crime, Drama",Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Dev Patel, Hugh Jackman","In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.",English,United States,3 nominations,41,6.8,"252,259",tt1823672,"$31,569,268",movie
116,Clear and Present Danger,1994,PG-13,03 Aug 1994,141.0,"Action, Crime, Drama",Phillip Noyce,"Tom Clancy, Donald E. Stewart, Steven Zaillian","Harrison Ford, Willem Dafoe, Anne Archer",CIA Analyst Jack Ryan is drawn into an illegal war fought by the US government against a Colombian drug cartel.,"English, Spanish",United States,Nominated for 2 Oscars. 3 wins & 11 nominations total,74,6.9,"100,272",tt0109444,"$122,187,717",movie
117,Cliffhanger,1993,R,28 May 1993,113.0,"Action, Adventure, Thriller",Renny Harlin,"John Long, Michael France, Sylvester Stallone","Sylvester Stallone, John Lithgow, Michael Rooker",A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,English,"United States, Italy, France, Japan",Nominated for 3 Oscars. 1 win & 12 nominations total,60,6.5,"130,841",tt0106582,"$84,049,211",movie
118,Cold Mountain,2003,R,25 Dec 2003,154.0,"Adventure, Drama, History",Anthony Minghella,"Charles Frazier, Anthony Minghella","Jude Law, Nicole Kidman, Renée Zellweger","In the waning days of the American Civil War, a wounded soldier embarks on a perilous journey back home to Cold Mountain, North Carolina to reunite with his sweetheart.",English,"United States, Italy, Romania, United Kingdom",Won 1 Oscar. 20 wins & 101 nominations total,73,7.2,"149,397",tt0159365,"$95,636,509",movie
119,Crocodile Dundee in Los Angeles,2001,PG,20 Apr 2001,95.0,"Action, Adventure, Comedy",Simon Wincer,"Paul Hogan, Matthew Berry, Eric Abrams","Paul Hogan, Linda Kozlowski, Jere Burns","Australian Outback adventurer Mick ""Crocodile"" Dundee travels to Los Angeles with his young son while his longtime companion suspects foul play at a movie studio.",English,"Australia, United States",1 win & 2 nominations,37,4.8,"25,136",tt0231402,"$25,635,682",movie
120,Dear John,2010,PG-13,05 Feb 2010,108.0,"Drama, Mystery, Romance",Lasse Hallström,"Jamie Linden, Nicholas Sparks","Channing Tatum, Amanda Seyfried, Richard Jenkins",A romantic drama about a soldier who falls for a conservative college student while he's home on leave.,English,United States,4 wins & 8 nominations,43,6.3,"149,671",tt0989757,"$80,014,842",movie
121,Do the Right Thing,1989,R,21 Jul 1989,120.0,"Comedy, Drama",Spike Lee,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee","On the hottest day of the year on a street in the Bedford-Stuyvesant section of Brooklyn, everyone's hate and bigotry smolders and builds until it explodes into violence.","English, Italian, Spanish, Korean",United States,Nominated for 2 Oscars. 21 wins & 17 nominations total,93,7.9,"102,532",tt0097216,"$27,545,445",movie
122,Extraction,2020,R,24 Apr 2020,116.0,"Action, Thriller",Sam Hargrave,"Joe Russo, Ande Parks, Anthony Russo","Chris Hemsworth, Bryon Lerum, Ryder Lerum","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he's enlisted to rescue the kidnapped son of an imprisoned international crime lord.","English, Hindi, Bengali",United States,4 wins & 15 nominations,56,6.7,"203,017",tt8936646,,movie
